sku_id,category,title,description,unit,price_sek
BRD-106,Brand & Identity,Brand asset kit (compact),"Digital asset kit for a focused brand system. Scope: ~10h.",per project,10000
BRD-107,Brand & Identity,Brand identity — compact package,"Bundle of BRD-101 through BRD-106. Suited for internal brands or sub-brands where the parent visual direction already exists. Sriracha leads.",per project,108000
VID-001,Video Production,Explainer video — script & concept,"Script development with 2 drafts and a locked version. Concept document describing visual metaphor and pacing. Scope: ~25h at 1000 SEK/h.",per project,25000
VID-002,Video Production,Explainer video — storyboard,"Frame-by-frame storyboard aligned to script, delivered as annotated PDF. Scope: ~25h at 1000 SEK/h.",per project,25000
VID-003,Video Production,Explainer video — design frames,"Key design frames establishing visual style, color, typography in motion. ~8-12 hero frames produced at final quality. Scope: ~38h at 1000 SEK/h.",per project,38000
VID-004,Video Production,Explainer video — motion graphics animation,"Full motion graphics animation for a 60-90s explainer in After Effects. Includes scene transitions, data visualization, and character/object motion. Scope: ~90h at 1000 SEK/h.",per project,90000
VID-005,Video Production,Explainer video — voiceover direction,"Casting brief, session direction with external VO talent, and VO editing into final track. Scope: ~12h at 1000 SEK/h. External VO talent cost billed separately.",per project,12000
VID-006,Video Production,Explainer video — sound design & music supervision,"Sound design pass, music track selection/direction, mix to broadcast-ready loudness. Scope: ~20h at 1000 SEK/h. External music license billed separately.",per project,20000
VID-007,Video Production,Explainer video — revisions (2 rounds),"Two full rounds of client revisions on motion, timing, copy, or VO. Third+ round billed hourly. Scope: ~28h at 1000 SEK/h.",per project,28000
VID-008,Video Production,Explainer video (60-90s) — full package,"Bundle of VID-001 through VID-007. One motion graphics explainer video at 60-90 seconds, Swedish VO, web-ready MP4 + subtitle SRT. External costs (VO talent, music) billed separately.",per project,238000
VID-009,Video Production,Explainer video — English VO version,"Add-on: English-language voiceover and subtitle variant of an existing explainer. Includes translation review, VO session, re-edit. Scope: ~18h at 1000 SEK/h. External English VO talent billed separately.",per project,18000
WEB-001,Web Design,Website strategy & sitemap,"Discovery, competitor review, sitemap definition, content outline. Output: strategy document with approved sitemap. Scope: ~20h at 1000 SEK/h.",per project,20000
WEB-002,Web Design,Website interaction & visual design,"Full visual design in Figma for desktop + mobile, including interaction patterns for any custom walkthroughs or animations. ~8-12 unique layouts. Scope: ~65h at 1000 SEK/h.",per project,65000
WEB-003,Web Design,Website copywriting (first draft),"Copy for all site sections, SEO-aware, in Swedish. Client reviews and edits. Scope: ~25h at 1000 SEK/h.",per project,25000
WEB-004,Web Development,Website development — Next.js,"Implementation of designs in Next.js (App Router), responsive across mobile/tablet/desktop, optimized for Core Web Vitals. Includes form handling, basic animation, and sitemap/robots setup. Scope: ~105h at 1000 SEK/h.",per project,105000
WEB-005,Web Development,Website launch & QA,"Cross-browser QA, Lighthouse optimization pass, content loading, DNS cutover, SSL verification, 30-day post-launch bugfix window. Scope: ~20h at 1000 SEK/h.",per project,20000
WEB-006,Web Design,Website revisions (2 rounds),"Two full rounds of design/dev revisions after first handover. Third+ round billed hourly. Scope: ~25h at 1000 SEK/h.",per project,25000
WEB-007,Web Development,Website — design & build full package,"Bundle of WEB-001 through WEB-006. Complete Next.js site delivered live on client's Vercel account. Replaces existing Framer/static site.",per project,260000
HST-001,Platform & Hosting,Vercel Pro setup,"Set up Vercel Pro project under client account, connect GitHub, configure custom domain, DNS, SSL, environment variables, preview deployments. Recurring ~220 SEK/mo paid by client directly. Scope: ~3h.",per project,3000
HST-002,Platform & Hosting,Vercel Hobby setup (free tier),"Set up Vercel Hobby project (free) for MVP/early-stage projects. Includes domain, DNS, SSL. No cost to client for hosting. Scope: ~2h.",per project,2000
CMS-001,CMS,Sanity CMS integration (free tier),"Integrate Sanity.io CMS with the Next.js site. Define schemas for pages, sections, and reusable blocks. Non-technical staff can edit copy/images/sections via web UI. Free tier covers 3 users / 2 datasets. Scope: ~28h at 1000 SEK/h.",per project,28000
CMS-002,CMS,Sanity CMS Growth plan config,"Upgrade configuration for Sanity Growth plan — roles, approval workflows, expanded datasets. Client pays ~1100 SEK/mo directly. Scope: ~12h at 1000 SEK/h.",per project,12000
CMS-003,CMS,Payload CMS self-hosted integration,"Alternative to Sanity — Payload CMS self-hosted in same Vercel deployment. Fully open source, no per-seat costs. Scope: ~40h at 1000 SEK/h.",per project,40000
ANL-001,Analytics,Plausible analytics setup,"Install Plausible (cookieless, no consent banner needed in Sweden). Configure goal tracking for key CTAs. Recurring ~105 SEK/mo paid by client. Scope: ~4h.",per project,4000
ANL-002,Analytics,PostHog free tier integration,"Install PostHog for funnels, session replay, feature flags, A/B test infrastructure. Free up to 1M events/mo. Scope: ~8h at 1000 SEK/h.",per project,8000
ANL-003,Analytics,Analytics growth pack (Plausible + PostHog),"Bundled ANL-001 + ANL-002 with cross-tool event mapping and a starter dashboard. Recommended default.",per project,12000
ANL-004,Analytics,GA4 setup with consent banner,"Install GA4 with Google Tag Manager and a GDPR-compliant consent management platform. Includes cookie banner UI. Scope: ~12h at 1000 SEK/h.",per project,12000
CRM-001,CRM & Lead Capture,Lead capture form (basic),"On-page form (name, email, postnummer, elförbrukning etc.) that sends submissions to a client email via Resend (3k emails/mo free). Includes server-side validation and spam protection. Scope: ~8h at 1000 SEK/h.",per project,8000
CRM-002,CRM & Lead Capture,HubSpot Free CRM integration,"Wire the on-page form to HubSpot Free CRM. Leads land in a proper pipeline with ownership, status, deal stages. Includes property mapping, duplicate handling, and welcome email templates. HubSpot Free tier 0 SEK/mo. Scope: ~20h at 1000 SEK/h.",per project,20000
CRM-003,CRM & Lead Capture,HubSpot Marketing Starter full setup,"HubSpot Marketing Starter with workflows, lead scoring, Calendly round-robin assignment, SMS triggers, and behavior-based segments. Recurring ~220+ SEK/mo paid by client. Scope: ~40h at 1000 SEK/h.",per project,40000
CRM-004,CRM & Lead Capture,Custom CRM integration (Pipedrive/Upsales/Lime),"Alternative to HubSpot — integrate on-page form and lead flow into an existing CRM of client's choice. Scope varies with CRM API maturity; starting estimate ~25h at 1000 SEK/h.",per project,25000
BOK-001,Booking,Calendly basic embed,"Embed existing Calendly link as CTA on new site. Configure event types and confirmation emails. Scope: ~2h.",per project,2000
BOK-002,Booking,Calendly team + HubSpot integration,"Calendly Standard with multi-user round-robin, integrated with HubSpot for lead attribution. Recurring ~110 SEK/seat/mo paid by client. Scope: ~6h at 1000 SEK/h.",per project,6000
BOK-003,Booking,Cal.com self-hosted white-labeled,"Self-host Cal.com under client domain (e.g. lystr.se/boka). Full white-label, no Calendly branding. Client pays ~55 SEK/seat/mo. Scope: ~25h at 1000 SEK/h.",per project,25000
EML-001,Marketing Automation,Email starter — Mailchimp free,"Mailchimp Free setup (500 contacts) with one welcome email on lead form signup and one monthly newsletter template. Scope: ~15h at 1000 SEK/h.",per project,15000
EML-002,Marketing Automation,Email automation — advanced flows,"Klaviyo / HubSpot Marketing Pro / ActiveCampaign setup with segmented nurture flows, behavior-triggered emails, lead scoring. Recurring ~500+ SEK/mo paid by client. Scope: ~45h at 1000 SEK/h.",per project,45000
SEO-001,SEO,SEO technical foundation,"Clean semantic HTML, meta tags, sitemap, OG/Twitter cards, Core Web Vitals green, Google Search Console + Bing verification. Typically bundled with web build — offered standalone for existing sites. Scope: ~10h at 1000 SEK/h.",per project,10000
SEO-002,SEO,SEO content & schema pack,"Schema.org markup (LocalBusiness, Product, FAQ, BreadcrumbList), keyword research, 5-8 SEO-targeted content pages with copy. Scope: ~33h at 1000 SEK/h.",per project,33000
SEO-003,SEO,SEO monthly retainer,"Ongoing SEO: new content (2 pieces/mo), link building, competitive monitoring, quarterly technical audit. Minimum 3-month commitment. ~25h/month at 1000 SEK/h.",per month,25000
PPT-001,Presentation Design,PowerPoint master template — light only,"Reusable .pptx master template with 12-15 slide layouts, based on approved brand system. Fully editable in PowerPoint. Scope: ~25h at 1000 SEK/h.",per project,25000
PPT-002,Presentation Design,PowerPoint populated deck (~20 slides),"Content-populated deck (~15-25 slides) using the master template. First draft in PowerPoint, client fills in final specifics. Scope: ~33h at 1000 SEK/h.",per project,33000
PPT-003,Presentation Design,PowerPoint deck revisions,"Two full rounds of slide revisions. Third+ round billed hourly. Scope: ~10h at 1000 SEK/h.",per project,10000
PPT-004,Presentation Design,PowerPoint sales deck — full package,"Bundle of PPT-001 + PPT-002 + PPT-003. Ready-to-use sales/partner deck derived from brand system.",per project,68000
PPT-101,Presentation Design,PowerPoint template architecture & grid,"Template foundation: master slides, grid system, color/font tokens, placeholder logic so native PowerPoint editing works without breaking layout. Scope: ~20h at 1000 SEK/h.",per project,20000
PPT-102,Presentation Design,PowerPoint slide layouts — light variant,"~18 master slide layouts for the light-mode variant: cover, section divider, title+body, two-column, large image, image grid, quote, data, comparison, talent intro, format breakdown, sponsor integration, timeline, contact. Scope: ~45h at 1000 SEK/h.",per project,45000
PPT-103,Presentation Design,PowerPoint slide layouts — dark variant,"~18 master slide layouts mirrored from light to dark. Reuses light layout architecture; adapts color and contrast. Scope: ~32h at 1000 SEK/h.",per project,32000
PPT-104,Presentation Design,PowerPoint element library,"Reusable icon set, chart styles, callout blocks, dividers, and component snippets embedded in the template. Scope: ~25h at 1000 SEK/h.",per project,25000
PPT-105,Presentation Design,PowerPoint QA — native edit testing,"Verify all layouts edit natively in PowerPoint without layout breakage, font substitution, or image fidelity loss. Test across macOS and Windows PowerPoint. Scope: ~12h at 1000 SEK/h.",per project,12000
PPT-106,Presentation Design,PowerPoint template revisions,"Two rounds of revisions on the master template. Scope: ~12h at 1000 SEK/h.",per project,12000
PPT-107,Presentation Design,PowerPoint master template — light + dark full package,"Bundle of PPT-101 through PPT-106. Complete dual-mode PowerPoint template system.",per project,146000
PPT-108,Presentation Design,Mockup pitch deck — content adaptation,"Adapt existing raw pitch content into the approved template. Includes content editing and structural improvements. Scope: ~20h at 1000 SEK/h.",per project,20000
PPT-109,Presentation Design,Mockup pitch deck — custom slide design,"Design ~20-25 slides using template layouts plus bespoke layouts where needed for a specific pitch (sponsor, investor). Scope: ~32h at 1000 SEK/h.",per project,32000
PPT-110,Presentation Design,Mockup pitch deck — image sourcing,"Source stock or AI-generated imagery for pitch slides, with client-replaceable placeholders noted. Scope: ~12h at 1000 SEK/h. External stock license billed separately.",per project,12000
PPT-111,Presentation Design,Mockup pitch deck — revisions,"Two rounds of revisions. Scope: ~10h at 1000 SEK/h.",per project,10000
PPT-112,Presentation Design,Mockup pitch deck — full package,"Bundle of PPT-108 through PPT-111. A single populated pitch deck (~20-25 slides) demonstrating how the template works when filled out.",per project,74000
PM-001,Project Management,Project management — hourly,"Weekly check-ins, client coordination, stakeholder alignment (e.g. with a Johan-type reviewer), file handover, invoicing coordination, post-delivery questions within 30 days. Typically sized at 10-15% of total project hours.",per hour,1000
PM-002,Project Management,Ad-hoc development / design,"Overflow hours for work outside agreed scope — bug fixes, small tweaks, urgent changes. Billed hourly against an agreed cap.",per hour,1000
RET-001,Retainer,Managed service — Maintenance,"4h/month. Includes bug fixes, minor copy edits, monthly analytics snapshot, uptime monitoring. Month-to-month; 30-day cancellation notice.",per month,4000
RET-002,Retainer,Managed service — Growth,"12h/month. Includes all Maintenance tasks plus monthly landing-page A/B test, quarterly content update, conversion review. Most common tier. Month-to-month; 30-day cancellation notice.",per month,12000
RET-003,Retainer,Managed service — Full-service,"30h/month. Includes all Growth tasks plus monthly creative iteration, email campaign design, SEO content, paid-media creative support. Effectively an outsourced digital team. Month-to-month; 30-day cancellation notice.",per month,30000
EXT-001,External Costs (passthrough),Voice-over talent — Swedish,"Professional Swedish voice-over talent for an explainer/commercial video. One session + delivery. Passthrough cost; billed at actual.",per session,10000
EXT-002,External Costs (passthrough),Voice-over talent — English,"Professional English voice-over talent for an international version of a video asset. One session + delivery. Passthrough cost; billed at actual.",per session,11000
EXT-003,External Costs (passthrough),Music license — library track,"License fee for a library music track (Artlist, Epidemic Sound tier). Passthrough cost.",per piece,5000
EXT-004,External Costs (passthrough),Music — custom composition,"Bespoke music composition for a video asset. Passthrough cost through a composer partner.",per piece,25000
EXT-005,External Costs (passthrough),Stock imagery — single image,"Single premium stock image (Getty/Adobe Stock standard license). Passthrough cost.",per piece,500
EXT-006,External Costs (passthrough),Stock imagery — pack,"10-image bundle from a major stock provider.",per piece,3500
EXT-007,External Costs (passthrough),Font license — display/brand font,"Desktop and web licensing for a premium display or brand font. Held in client's name.",per project,3000
